Pair,Date,buy/sell,weight,Exit,stoploss
audjpy,20180802,1,4.9092070589075,0.350923463991555,-0.19
audnzd,20180802,-1,5.70191023325868,-0.201921542640147,0.19
audusd,20180802,-1,2.29811470763385,-0.224361335357009,0.19
chfjpy,20180802,1,9.16853655638596,0.375893845355142,-0.19
eurchf,20180802,1,3.62785572562758,0.193522003657663,-0.19
eurgbp,20180802,1,9.43801282483055,0.249915894436237,-0.19
eurjpy,20180802,1,10.3846218994517,0.303856375240666,-0.19
eurusd,20180802,1,7.1094438491785,0.203303427236686,-0.19
gbpjpy,20180802,1,4.56753572794384,0.302898176796409,-0.19
gbpusd,20180802,1,9.51380786276131,0.278235203741264,-0.19
nzdusd,20180802,1,6.93586788341727,0.241054815911888,-0.19
usdcad,20180802,-1,7.8575990282716,-0.207482915840345,0.19
usdchf,20180802,-1,13.0827923723182,-0.243891699854173,0.19
usdjpy,20180802,-1,5.40469427001346,-0.240195597982949,0.19
